clusters,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,total,total,total
polarity,positive,negative,final,positive,negative,final,positive,negative,final,positive,negative,final,positive,negative,final,positive,negative,final,positive,negative,final,positive,negative,final,positive,negative,final,positive,negative,final,positive,negative,final,positive,negative,final,positive,negative,final,positive,negative,final,positive,negative,final,positive,negative,final,positive,negative,final,positive,negative,final,positive,negative,final
sum,5362.496937862417,-2569.4079535614005,2793.0889843010145,128955.91676202702,-55702.45835718534,73253.45840484163,83863.23642486677,-38200.19042361948,45663.046001247276,8843.013989819172,-4484.9390244848055,4358.0749653343655,37372.00291608997,-13715.977622217173,23656.025293872826,36179.63303326547,-17837.966774907785,18341.66625835772,15653.020442882378,-5465.004420003306,10188.01602287908,146261.42973823755,-57022.691817836,89238.73792040108,58119.49125570951,-26152.47184568897,31967.019410020566,101226.51461963383,-42992.01946984748,58234.49514978633,10433.424096654373,-6191.000892473203,4242.423204181168,59876.01829830109,-24453.83897214647,35422.179326154604,43916.56386699544,-15605.583620648124,28310.980246347288,2315.520856466525,-1197.2154183172545,1118.3054381492707,150610.27264200227,-52417.71762958706,98192.55501241531,7233.4816788706,-3608.132493868468,3625.349185002131,823.2944855112523,-391.80750066446427,431.4869848467882,9525.15396796097,-6065.86390528626,3459.2900626747073,906570.4860131526,-374074.28814234334,532496.1978708132
count,117.0,117.0,117.0,363.0,363.0,363.0,656.0,656.0,656.0,142.0,142.0,142.0,167.0,167.0,167.0,364.0,364.0,364.0,139.0,139.0,139.0,2316.0,2316.0,2316.0,544.0,544.0,544.0,404.0,404.0,404.0,235.0,235.0,235.0,330.0,330.0,330.0,131.0,131.0,131.0,60.0,60.0,60.0,199.0,199.0,199.0,76.0,76.0,76.0,18.0,18.0,18.0,90.0,90.0,90.0,6351.0,6351.0,6351.0
mean,45.833307161217235,-21.96075173984103,23.87255542137619,355.2504593995233,-153.45029850464297,201.8001608948803,127.84029942815057,-58.23199759698092,69.60830183116965,62.27474640717728,-31.584077637216964,30.690668769960325,223.78444859934132,-82.13160252824657,141.65284607109476,99.39459624523488,-49.00540322776865,50.38919301746624,112.61165786246318,-39.31657856117488,73.2950793012883,63.15260351391928,-24.621196812537146,38.53140670138214,106.83730010240718,-48.07439677516358,58.76290332724361,250.56067975156878,-106.41588977685024,144.14478997471858,44.397549347465436,-26.344684648822163,18.05286469864327,181.4424796918214,-74.10254233983777,107.33993735198361,335.2409455495833,-119.12659252403145,216.1143530255518,38.5920142744421,-19.95359030528757,18.638423969154523,756.8355409145847,-263.40561622908075,493.4299246855039,95.17739051145527,-47.47542755090092,47.70196296055436,45.73858252840291,-21.767083370248017,23.9714991581549,105.8350440884552,-67.39848783651401,38.4365562519412,142.7445262184154,-58.90006111515402,83.84446510326136
std,137.02108810191055,52.74107684317384,86.52538575182055,762.8532892123878,295.7285490911055,485.68766206547474,455.0140178226287,194.48474047473684,274.46815476142945,127.90212224793615,56.826897690191444,76.50703597690296,461.3173482768286,142.97056514042617,326.0757387317719,268.49491739129405,98.18575709910998,176.76699867264,386.91587107704606,104.71572765421567,285.2673261349503,220.31274889676865,75.16843096803404,153.50001608587513,181.58504288571575,70.54340560118285,126.58735124822186,576.1410007873475,222.37512487144605,365.7201129730552,71.55957864494337,42.648906063854206,38.369622698770876,449.5015381630633,158.21323412424448,297.11291136050033,599.2800068789993,208.22897591873343,399.6189998631657,129.73098726932753,45.97130267643063,85.15284233780066,1013.177584109064,383.06061923575555,662.2888225424665,141.89428465120218,58.01577619571445,89.18427982937884,87.25487823292895,33.447989607218275,55.33112094716274,294.57950577937066,131.09384592311548,171.60861268816652,425.4198976704686,160.33852516540512,276.5161054733449
min,0.3526216697371,-434.12271895263393,-13.452319165880919,0.3967725467187,-3902.364190362806,-47.13666237012325,0.0,-4238.030726036472,-93.61471515005363,0.848337959323,-444.1618109766879,-15.894153756899895,0.0,-820.3274487645513,-41.31509035547438,0.441106717357,-1185.3438220656008,-137.5026156565729,0.0,-908.9923673859716,-20.514674794641095,0.0,-2060.5390670016845,-42.35701246986185,0.0,-701.479913402673,-30.69107543668872,0.0353323193687,-3619.0894141488134,-109.8665008939031,0.0,-322.88658782338155,-29.253999405520457,0.0706646387374,-1815.3815482305142,-41.174280867730644,1.4607692052187002,-1225.7689079450286,-16.16194382779209,0.0353323193687,-343.80221991817984,-13.431382965094201,1.4805986609807,-2631.143905847135,-34.88145503748236,0.4451549697149,-305.37994554733626,-22.087273221285827,0.0,-102.62546410063925,-8.7535864235527,0.0,-964.3371274719326,-37.65483604229811,0.0,-4238.030726036472,-137.5026156565729
25%,4.5384626213959,-17.2453420340504,-0.9919900644721,58.469524155990946,-166.81495793829112,15.946294414664164,5.7603861029997505,-50.05068686909362,-0.4854536182170377,7.285625732694687,-33.223706031352314,-0.6620191944981144,7.634644776765049,-72.41785245538838,-1.1265682397315,5.914306791865522,-49.74944367213913,-1.5186731675263752,3.5703551114425,-28.976156003280614,-1.265566853150835,2.5725297544817503,-19.584998455081283,-0.8720333201306999,18.927927305441898,-57.17469310312807,4.210623817551198,20.36282543544025,-125.71616739118919,6.19525102999155,3.31434376002798,-28.938032209770743,-2.0889885292559125,13.946136109425536,-74.84161435670457,0.6718915039182551,11.707014651857502,-102.1263047947084,2.014298582548702,2.14194014504845,-17.52160411298426,-2.7112211887840165,127.0302868564535,-322.02036501707335,67.11682640743169,6.30338072232077,-76.76091112335948,-3.4335916253265504,0.254378715683275,-31.859351826208822,-2.971842545863525,8.439590684833275,-57.748499257600685,-7.540416477612849,5.3063521914391405,-47.68425198090406,-0.3030627444472005
50%,10.517554846184998,-7.1610633101213,4.1113009267389,139.85207708818302,-68.77724710231654,61.744032837229256,20.909921509760487,-14.186255215361049,5.539186893207409,17.24394628588705,-12.635407305677738,5.923575728563451,33.89487765557286,-27.421287945198088,10.663375716910522,22.309033616621328,-17.077796412488226,4.40077203223715,18.234120233925896,-11.01101219550112,6.392388139397399,8.369990475840526,-6.1576595174910995,2.777314764595045,46.729349468229444,-24.018314056174898,21.45107037345496,99.37692622798272,-51.24543060095297,43.66789140247571,15.142855163515101,-10.332791725372001,2.9362887808634555,39.2583804235211,-25.50716385480446,12.885048743211055,69.56749342749988,-34.9140103748837,37.18661565268294,7.366338464046999,-7.151008397057449,0.6492232916167495,352.7293264177959,-144.30327167481414,212.7346390457135,26.123851436547486,-18.98103282446,3.7565062582435016,4.4599205356815,-5.49837761057865,1.0018055935639003,31.020237342165544,-27.3258630270809,-1.161394558045525,22.880790171577107,-14.28452304873542,7.4634779410573096
75%,26.737749783558904,-3.2990317793221005,13.546145090348904,347.1448257415133,-28.2746002456136,182.68781664752294,97.8001270107853,-5.2975412372515995,42.80007969815918,54.23795715728874,-5.386403812262637,26.564821096284437,149.11366595291764,-7.876307703068549,90.4918008857407,83.55975676269898,-5.38736834442875,29.43484793177785,66.59971564197984,-4.1257202611463,46.71080826271066,36.61988351852525,-2.112377205032075,20.010426940595465,117.11987651380865,-10.62096296063683,61.73625644537575,276.3882723974302,-12.7182708829173,143.98265447733004,47.33569564035426,-4.38883727365725,18.86874983765917,152.69942223562916,-10.290478176201976,77.40185564532634,276.4937954209797,-11.6558777134908,209.29678955801904,20.49282186773583,-3.95951117911975,8.732633582704901,976.2157492339622,-39.19361015039982,662.3526587443846,121.73500766698575,-9.445660136409025,64.30539518530101,39.66570338831207,-2.4124636069998004,12.41165310522543,68.12255541935282,-12.124283082772205,17.588469183442918,102.29290569306977,-4.520199775373699,55.50637472759024
