positive,negative,final,time
457.5849379937442,-237.65704097365258,219.9278970200916,2016-01
1158.4429355611505,-393.09680423529284,765.3461313258576,2017-01
48.34912866172368,-47.09057431696216,1.2585543447615208,2014-11
2219.7765769767493,-666.4075685026588,1553.3690084740906,2017-01
6021.4746627327995,-2312.886469580804,3708.5881931519957,2017-01
12.920527128459401,-7.905499616148175,5.015027512311226,2017-01
1408.4267857285847,-567.8839338902646,840.5428518383201,2017-01
3928.4238254198885,-1403.298913438232,2525.1249119816566,2015-12
206.3011296578634,-103.77316771238044,102.52796194548297,2017-01
143.065521181182,-62.54263158840189,80.5228895927801,2016-04
1344.0868500824554,-489.0615546662402,855.0252954162152,2014-11
3561.0220122436567,-1011.9297069822924,2549.0923052613643,2017-01
792.6238062341467,-335.1759904645485,457.44781576959826,2016-12
445.8102042175142,-170.05505187559606,275.7551523419181,2014-11
229.33856438802889,-102.21657565872258,127.12198872930631,2017-01
2856.081745080251,-908.2827359872762,1947.7990090929748,2017-01
2280.46729122771,-754.5166771310346,1525.9506140966755,2015-12
812.3424995355045,-276.1219043175921,536.2205952179124,2017-01
56.67387247526008,-57.51802206772763,-0.8441495924675451,2017-01
1561.9727191789082,-310.5785644413328,1251.3941547375753,2014-12
556.6682867116045,-198.0183998153678,358.64988689623675,2014-11
893.9194505706164,-444.1618109766879,449.7576395939285,2016-12
2233.895517973251,-823.1801537136034,1410.7153642596477,2015-12
178.58347758588044,-87.18073742847551,91.40274015740493,2016-01
16.397216151216092,-4.904236412445001,11.49297973877109,2016-03
2634.8009668976065,-964.1843122130379,1670.6166546845686,2016-12
122.75546590519332,-153.44654134188204,-30.69107543668872,2014-11
1969.9102697820422,-645.6448931645718,1324.2653766174703,2014-11
31.850453803266735,-14.4372431584974,17.413210644769336,2015-12
3800.8835262997586,-1120.7822341996105,2680.1012921001484,2016-05
11.7861259775152,-8.937001380669297,2.8491245968459022,2017-01
334.3195255047909,-87.18937721817024,247.13014828662062,2016-12
130.24240166734012,-100.99225167163036,29.250149995709762,2017-01
176.9858890312457,-70.40037991229539,106.58550911895031,2017-01
182.1722982327539,-105.77720931697452,76.39508891577937,2016-02
211.8016523435963,-168.69418861816794,43.107463725428346,2015-12
71.2233981339652,-34.03354172117269,37.189856412792516,2016-12
95.25830795370173,-27.87228241630147,67.38602553740026,2014-11
23.08438823341221,-19.2205409427919,3.86384729062031,2016-12
99.16107387953957,-42.3416926337191,56.81938124582047,2017-01
6.691654390038,-7.463220567086999,-0.7715661770489994,2017-03
188.06442255433458,-77.47152525155325,110.59289730278134,2017-01
103.06886835340485,-48.72776692902243,54.34110142438242,2017-01
113.95703598330974,-26.359114320006704,87.59792166330303,2016-12
40.73844878337537,-23.296780795650797,17.44166798772457,2017-01
872.7786161063249,-308.675208706002,564.1034074003228,2016-04
693.5310854399523,-173.1670597976454,520.364025642307,2017-11
2964.1075074864584,-740.5564025213961,2223.551104965062,2017-01
24.262209831282895,-14.510838054911199,9.751371776371696,2017-01
197.86548187779144,-130.4923148708926,67.37316700689883,2017-01
655.3027209822034,-167.30862430712523,487.99409667507814,2014-11
13.6726828263464,-11.1298023960475,2.542880430298899,2016-12
721.5082001400413,-276.79641924964073,444.7117808904005,2016-12
513.8996999466572,-220.61226461357947,293.2874353330777,2016-12
35.44851093743051,-1.8857733023557,33.56273763507481,2016-06
1416.590982979652,-554.3085381311397,862.2824448485122,2017-01
194.55777042414832,-78.28705168529213,116.27071873885619,2016-03
296.71193111094783,-113.9505671023457,182.76136400860213,2017-01
27.763111795275556,-6.58337024446793,21.179741550807627,2016-12
122.8587453776115,-29.167577911379926,93.69116746623158,2014-11
73.95701837998656,-54.676382704676264,19.2806356753103,2017-01
65.8593545633095,-30.95282601990949,34.9065285434,2016-12
16.11165887446253,-4.454466473082,11.65719240138053,2017-01
3.29856792117533,-2.620063431089,0.67850449008633,2016-10
561.3141735454726,-112.57635260302753,448.73782094244507,2016-01
213.50101694096577,-139.40307491868552,74.09794202228025,2015-12
8.3086011038382,-6.6535256985154,1.6550754053227994,2015-12
1693.9123491393536,-556.6689268713717,1137.243422267982,2017-01
22.684067947820605,-7.2173685395010985,15.466699408319506,2016-04
313.3594082427108,-136.00789557109212,177.35151267161868,2017-01
28.400622232361606,-22.230450098481295,6.17017213388031,2015-12
158.07285907731335,-56.05509124073079,102.01776783658256,2016-12
60.452356020901725,-64.10720156481068,-3.654845543908955,2016-12
201.46516450509512,-41.10240956222901,160.3627549428661,2015-03
210.02419755200512,-151.17086754422058,58.853330007784535,2014-11
468.41954585382655,-181.5316686489602,286.88787720486636,2017-01
100.88772515827146,-46.782809223858926,54.10491593441254,2017-01
682.2254652961348,-283.37803525919827,398.8474300369365,2016-10
360.19510899939667,-148.96769629271097,211.2274127066857,2016-02
143.0332409272894,-141.9861089424518,1.0471319848375913,2015-12
1019.4845937560557,-323.764178602202,695.7204151538538,2017-01
5.152989775768128,-16.297749950895096,-11.144760175126969,2017-01
362.68988166069255,-160.3117129411169,202.37816871957565,2017-01
112.15757890443543,-49.852297124249716,62.30528178018571,2014-11
45.673850647495506,-32.85277736024884,12.82107328724667,2016-01
3.6890785492919997,-10.4976482043507,-6.8085696550587,2016-12
87.92521329441317,-68.61912860840887,19.306084686004297,2014-11
64.14872272825407,-57.931264969766076,6.2174577584879955,2017-01
3479.305254075405,-1526.1062623292803,1953.1989917461249,2017-01
10.21736720324233,-11.92918392493863,-1.7118167216962998,2016-12
1161.363112771004,-487.73093237483823,673.6321803961657,2017-10
