time,implemented_positive,original_positive,implemented_negative,original_negative,implemented_final,original_final
2017-06,17630.27820002078,2290.409591369508,-242.82876472201986,-951.5871996197734,17387.44943529876,1338.8223917497346
2017-07,50652.6100436927,6699.874105083397,-371.1447790079041,-2394.3817148800895,50281.4652646848,4305.492390203307
2017-08,87691.04435114856,11552.914680092577,-444.6025535881167,-2339.4724051402186,87246.44179756043,9213.442274952355
2017-09,28197.04442645482,3461.517495567203,-213.08250966642237,-1169.492182611681,27983.9619167884,2292.0253129555226
2017-10,55623.872510122215,9244.486413763612,-1228.672980505477,-3239.934269057748,54395.19952961675,6004.552144705866
2017-11,154186.58216150157,23978.10487587809,-2498.362956051989,-8675.848641204566,151688.2192054495,15302.256234673514
2017-12,105145.88105523546,13580.321417638957,-1081.0649435772807,-5387.727713713817,104064.81611165812,8192.593703925137
2018-01,73055.10176589266,9371.03507513756,-594.3599559743043,-3404.8075584886246,72460.74180991839,5966.227516648934
2018-02,48701.77692015151,7655.769490342671,-1103.5231801850687,-2982.9996063384197,47598.253739966436,4672.769884004253
2018-03,4.7260002021192005,4.7260002021192005,-0.15116877584660002,-0.15116877584660002,4.574831426272602,4.574831426272602
