time,implemented_positive,original_positive,implemented_negative,original_negative,implemented_final,original_final
2013-02,1277.5887769683227,127.4971055664778,-4.373277360881835,-43.82256404965249,1273.215499607441,83.67454151682533
2013-03,2566.646868823213,284.2295995726593,-25.26263546884141,-225.44766912162976,2541.3842333543716,58.78193045102948
2013-05,196.81057691110706,19.313990171912604,-0.8035797675912634,-8.188520147624601,196.00699714351578,11.125470024288004
2013-06,273.7057837904795,26.860095128488087,-1.2104460700221338,-12.33450919465014,272.49533772045737,14.525585933837956
2013-09,18.519943297575423,1.8174531493564452,-0.49127349430984585,-5.0061027770877,18.02866980326558,-3.188649627731255
2013-10,4245.69619614235,430.79437718241286,-15.172888967626413,-146.89860877998734,4230.523307174724,283.8957684024256
2013-11,14982.730337402452,2795.7629614625025,-978.3937374021571,-1763.9584614852013,14004.33660000029,1031.8044999773
2013-12,26182.57073970864,4060.462847268123,-596.8982856266822,-1591.0450049087071,25585.672454081967,2469.417842359415
2014-01,22442.121406696126,2749.616810835141,-227.9662352612977,-1308.7510251656083,22214.15517143483,1440.8657856695318
2014-02,69899.0436855286,9757.433472632325,-1158.8265208791972,-4668.742093940818,68740.21716464937,5088.6913786915065
2014-03,70344.4150014869,10552.69886775108,-1183.2215917909805,-3857.715653312326,69161.19340969592,6694.983214438755
2014-04,16633.80577222869,2095.1439937148425,-70.75341521673268,-568.0164950611803,16563.05235701196,1527.1274986536628
2014-05,3171.1210347264887,356.24563980696325,-21.19587478057756,-164.2500570304601,3149.9251599459108,191.9955827765031
2014-06,9239.418764611171,1621.560352955137,-312.1334440121615,-926.3824363204014,8927.28532059901,695.1779166347352
2014-07,2943.9098339406974,348.29219276673587,-22.84054888281539,-168.92217568674363,2921.069285057881,179.37001707999227
2014-08,523.0991209818324,49.11728835510159,-2.7202332895631205,-28.970484533847255,520.3788876922692,20.146803821254345
2014-09,485.03297444462436,107.3374155069026,-38.46314779155521,-58.74628434627153,446.56982665306913,48.59113116063108
2014-10,101315.51938410889,14143.862098122014,-1800.6274718367572,-6210.716867278624,99514.89191227214,7933.145230843385
2014-11,64738.62342031745,11192.464563738493,-2025.346724996545,-4761.478807685039,62713.27669532089,6430.9857560534465
2014-12,79338.24773584634,10233.326430674706,-900.823074145509,-4104.979148571934,78437.42466170085,6128.34728210278
2015-01,5660.680899801658,801.9536199393607,-130.80440638607809,-452.2638401938856,5529.87649341558,349.6897797454751
2015-02,363584.02372391283,54358.55612819283,-7861.786722896978,-22453.260937385185,355722.2370010158,31905.295190807625
2015-03,1716287.7499500965,233275.6980169278,-25133.468452489276,-103388.05740173082,1691154.2814976026,129887.64061519646
2015-04,26790.58188788211,4205.884534058345,-665.6568555397643,-2250.765772565648,26124.925032342348,1955.1187614926969
2015-05,790.3742986530948,261.5469940123056,-88.414888124582,-130.26404345786344,701.9594105285126,131.28295055444215
2015-06,14485.033052573406,1991.4719530514765,-125.30872832066733,-301.57840259217494,14359.72432425274,1689.8935504593017
2015-07,10.249341839367967,1.329793764522,-2.6268842668737835,-5.475440695832001,7.622457572494183,-4.14564693131
2015-08,6412.365222557372,736.3972331908267,-91.29372437175064,-431.23563196787944,6321.071498185621,305.16160122294735
2015-09,15668.581590567925,1979.0167019585206,-125.22681005359681,-640.9264473413375,15543.354780514328,1338.0902546171835
2015-10,60733.48173089097,8138.329120046142,-385.2065342848195,-2788.514013489484,60348.27519660615,5349.815106556659
2015-11,60727.90409038479,8024.708081532171,-626.472775573776,-3674.57872259733,60101.43131481104,4350.129358934841
2015-12,500720.98893993115,79362.12994553914,-11744.184099439635,-33614.964127546526,488976.80484049156,45747.165817992696
2016-01,113605.20009360526,17545.995767967775,-3180.7240406863116,-8051.893359158788,110424.4760529189,9494.102408808985
2016-02,55442.06127361084,7519.3310116042685,-637.8000460318306,-3717.8267481786725,54804.261227579016,3801.5042634255915
2016-03,23822.385578666675,3459.979665007967,-448.70269948042204,-1348.2053174497587,23373.682879186235,2111.7743475582092
2016-04,17564.16715814903,6592.556294758422,-2415.5483598393303,-2986.2484639381596,15148.618798309697,3606.3078308202626
2016-05,58429.24541957326,7779.690127834082,-511.6108228688852,-2958.299990225252,57917.634596704374,4821.390137608831
2016-06,17001.233952657174,2008.53650441043,-148.3736671873596,-853.2918778374791,16852.86028546982,1155.244626572951
2016-07,17911.25048351705,2230.1420298170856,-166.08009316652797,-878.4179730376047,17745.170390350526,1351.7240567794809
2016-08,22571.148090544102,2925.5896403673655,-264.34109788521334,-1212.0477825658381,22306.806992658894,1713.5418578015272
2016-09,9791.209930431956,1413.6410000825872,-345.69634640000527,-953.4082718407957,9445.51358403195,460.2327282417915
2016-10,42583.98220570072,7634.618179367621,-1395.159292414148,-3363.0850209138616,41188.822913286574,4271.5331584537635
2016-11,91273.57157230542,15657.407232589987,-2390.5619945497065,-6372.186092470478,88883.00957775569,9285.2211401195
2016-12,592264.2309288381,84472.00653545633,-9058.221528055597,-31996.90974373007,583206.0094007825,52475.09679172619
2017-01,1120962.9227750988,169264.07051438047,-19354.068783502003,-67755.41432113583,1101608.8539915965,101508.65619324429
2017-02,89512.30936828171,11843.064012149236,-971.0558704223178,-4762.886049931117,88541.2534978594,7080.177962218121
2017-03,49664.73006590354,7258.2665985578315,-889.0681823087561,-2794.4611032666394,48775.66188359478,4463.805495291194
2017-04,26144.96163232005,3720.5237231012957,-428.1649105898223,-1382.611263908231,25716.796721730232,2337.912459193065
2017-05,26205.723264547378,3315.0483520536354,-241.98903202130091,-1384.4345519619694,25963.73423252608,1930.613800091667
