time,positive,negative,final
2013,7746.738429501936,-3796.7014404645415,3950.0369890373904
2014,63207.09912685949,-26827.671528933246,36379.4275979262
2015,393137.0221222127,-170131.88478156432,223005.13734064877
2016,159239.4939892637,-64691.82064134677,94547.67334791699
2017,266208.6017796352,-102238.25141643178,163970.35036320394
2018,17031.53056568235,-6387.95833360289,10643.572232079458
