time,positive,negative,final
2013-02,127.4971055664778,-43.82256404965249,83.67454151682533
2013-03,284.2295995726593,-225.44766912162976,58.78193045102948
2013-05,19.313990171912604,-8.188520147624601,11.125470024288004
2013-06,26.860095128488087,-12.33450919465014,14.525585933837956
2013-09,1.8174531493564452,-5.0061027770877,-3.188649627731255
2013-10,430.79437718241286,-146.89860877998734,283.8957684024256
2013-11,2795.7629614625025,-1763.9584614852013,1031.8044999773
2013-12,4060.462847268123,-1591.0450049087071,2469.417842359415
2014-01,2749.616810835141,-1308.7510251656083,1440.8657856695318
2014-02,9757.433472632325,-4668.742093940818,5088.6913786915065
2014-03,10552.69886775108,-3857.715653312326,6694.983214438755
2014-04,2095.1439937148425,-568.0164950611803,1527.1274986536628
2014-05,356.24563980696325,-164.2500570304601,191.9955827765031
2014-06,1621.560352955137,-926.3824363204014,695.1779166347352
2014-07,348.29219276673587,-168.92217568674363,179.37001707999227
2014-08,49.11728835510159,-28.970484533847255,20.146803821254345
2014-09,107.3374155069026,-58.74628434627153,48.59113116063108
2014-10,14143.862098122014,-6210.716867278624,7933.145230843385
2014-11,11192.464563738493,-4761.478807685039,6430.9857560534465
2014-12,10233.326430674706,-4104.979148571934,6128.34728210278
2015-01,801.9536199393607,-452.2638401938856,349.6897797454751
2015-02,54358.55612819283,-22453.260937385185,31905.295190807625
2015-03,233275.6980169278,-103388.05740173082,129887.64061519646
2015-04,4205.884534058345,-2250.765772565648,1955.1187614926969
2015-05,261.5469940123056,-130.26404345786344,131.28295055444215
2015-06,1991.4719530514765,-301.57840259217494,1689.8935504593017
2015-07,1.329793764522,-5.475440695832001,-4.14564693131
2015-08,736.3972331908267,-431.23563196787944,305.16160122294735
2015-09,1979.0167019585206,-640.9264473413375,1338.0902546171835
2015-10,8138.329120046142,-2788.514013489484,5349.815106556659
2015-11,8024.708081532171,-3674.57872259733,4350.129358934841
2015-12,79362.12994553914,-33614.964127546526,45747.165817992696
2016-01,17545.995767967775,-8051.893359158788,9494.102408808985
2016-02,7519.3310116042685,-3717.8267481786725,3801.5042634255915
2016-03,3459.979665007967,-1348.2053174497587,2111.7743475582092
2016-04,6592.556294758422,-2986.2484639381596,3606.3078308202626
2016-05,7779.690127834082,-2958.299990225252,4821.390137608831
2016-06,2008.53650441043,-853.2918778374791,1155.244626572951
2016-07,2230.1420298170856,-878.4179730376047,1351.7240567794809
2016-08,2925.5896403673655,-1212.0477825658381,1713.5418578015272
2016-09,1413.6410000825872,-953.4082718407957,460.2327282417915
2016-10,7634.618179367621,-3363.0850209138616,4271.5331584537635
2016-11,15657.407232589987,-6372.186092470478,9285.2211401195
2016-12,84472.00653545633,-31996.90974373007,52475.09679172619
2017-01,169264.07051438047,-67755.41432113583,101508.65619324429
2017-02,11843.064012149236,-4762.886049931117,7080.177962218121
2017-03,7258.2665985578315,-2794.4611032666394,4463.805495291194
2017-04,3720.5237231012957,-1382.611263908231,2337.912459193065
2017-05,3315.0483520536354,-1384.4345519619694,1930.613800091667
2017-06,2290.409591369508,-951.5871996197734,1338.8223917497346
2017-07,6699.874105083397,-2394.3817148800895,4305.492390203307
2017-08,11552.914680092577,-2339.4724051402186,9213.442274952355
2017-09,3461.517495567203,-1169.492182611681,2292.0253129555226
2017-10,9244.486413763612,-3239.934269057748,6004.552144705866
2017-11,23978.10487587809,-8675.848641204566,15302.256234673514
2017-12,13580.321417638957,-5387.727713713817,8192.593703925137
2018-01,9371.03507513756,-3404.8075584886246,5966.227516648934
2018-02,7655.769490342671,-2982.9996063384197,4672.769884004253
2018-03,4.7260002021192005,-0.15116877584660002,4.574831426272602
